artist inverted,track,time,genre,date entered,x1st.week,x2nd.week,x3rd.week,x4th.week,x5th.week
Destiny's Child,Independent Women Part I,3:38,Rock,23/09/2000,78,63,49,33,23
Santana,"Maria, Maria",4:18,Rock,12/02/2000,15,8,6,5,2
Savage Garden,I Knew I Loved You,4:07,Rock,23/10/1999,71,48,43,31,20
Madonna,Music,3:45,Rock,12/08/2000,41,23,18,14,2
"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock,5/08/2000,57,47,45,29,23
Janet,Doesn't Really Matter,4:17,Rock,17/06/2000,59,52,43,30,29
Destiny's Child,Say My Name,4:31,Rock,25/12/1999,83,83,44,38,16
"Iglesias, Enrique",Be With You,3:36,Latin,1/04/2000,63,45,34,23,17
Sisqo,Incomplete,3:52,Rock,24/06/2000,77,66,61,61,61
Lonestar,Amazed,4:25,Country,5/06/1999,81,54,44,39,38
N'Sync,It's Gonna Be Me,3:10,Rock,6/05/2000,82,70,51,39,26
"Aguilera, Christina",What A Girl Wants,3:18,Rock,27/11/1999,71,51,28,18,13
Vertical Horizon,Everything You Want,4:01,Rock,22/01/2000,70,61,53,46,40
Creed,With Arms Wide Open,3:52,Rock,13/05/2000,84,78,76,74,70
Aaliyah,Try Again,4:03,Rock,18/03/2000,59,53,38,28,21
matchbox twenty,Bent,4:12,Rock,29/04/2000,60,37,29,24,22
"Carey, Mariah",Thank God I Found You,4:14,Rock,11/12/1999,82,68,50,50,41
"Hill, Faith",Breathe,4:04,Rap,6/11/1999,81,68,62,51,42
Mya,Case Of The Ex (Whatcha Gonna Do),3:50,Rock,19/08/2000,72,57,52,47,42
Dream,He Loves U Not,3:43,Rock,30/09/2000,99,92,81,59,47
"Braxton, Toni",He Wasn't Man Enough,4:21,Rock,18/03/2000,63,55,48,39,35
"Anthony, Marc",You Sang To Me,3:50,Latin,26/02/2000,77,54,50,43,30
98<a1>,Give Me Just One Night (Una Noche),3:24,Rock,19/08/2000,51,39,34,26,26
Destiny's Child,Jumpin' Jumpin',3:48,Rock,13/05/2000,74,71,65,62,57
3 Doors Down,Kryptonite,3:53,Rock,8/04/2000,81,70,68,67,66
Sisqo,Thong Song,4:05,Rock,29/01/2000,74,63,35,26,26
"Aguilera, Christina",I Turn To You,4:00,Rock,15/04/2000,50,39,30,28,21
"Houston, Whitney",My Love Is Your Love,4:16,Rock,4/09/1999,81,68,44,16,11
Joe,I Wanna Know,4:57,Rock,1/01/2000,94,86,69,50,41
"Jordan, Montell",Get It On.. Tonite,4:34,Rap,23/10/1999,92,80,72,69,67
N'Sync,Bye Bye Bye,3:15,Rock,29/01/2000,42,20,19,14,13
Eminem,The Real Slim Shady,4:42,Rap,6/05/2000,70,32,20,16,11
Pink,Most Girls,4:06,Rock,12/08/2000,85,70,52,36,27
"Mumba, Samantha",Gotta Tell You,3:19,Rock,9/09/2000,85,72,65,49,39
Blaque,Bring It All To Me,3:46,Pop,23/10/1999,73,63,50,42,24
"Elliott, Missy ""Misdemeanor""",Hot Boyz,3:51,Rap,27/11/1999,36,21,13,9,7
"Gray, Macy",I Try,3:52,Rock,19/02/2000,68,51,47,36,30
N'Sync,This I Promise You,4:23,Rock,30/09/2000,68,31,19,15,11
Ruff Endz,No More,3:56,Rock,1/07/2000,76,38,19,17,12
"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,3:54,Rock,1/01/2000,74,62,55,25,16
Nine Days,Absolutely (Story Of A Girl),3:09,Rock,6/05/2000,85,71,59,52,39
"Dion, Celine",That's The Way It Is,4:03,Rock,13/11/1999,74,68,65,49,44
Blink-182,All The Small Things,2:52,Rock,4/12/1999,89,76,69,59,59
Eiffel 65,Blue (Da Ba Dee),3:29,Electronica,11/12/1999,67,29,16,16,13
"Badu, Erkyah",Bag Lady,5:03,Rock,19/08/2000,67,53,42,41,48
Pink,There U Go,3:23,Rock,4/03/2000,25,15,12,11,11
Creed,Higher,5:16,Rock,11/09/1999,81,77,73,63,61
Nelly,(Hot S**t) Country Grammar,4:17,Rap,29/04/2000,100,99,96,76,55
Next,Wifey,4:03,Rock,27/05/2000,85,61,46,40,36
Kenny G,Auld Lang Syne (The Millenium Mix),7:50,Jazz,25/12/1999,89,89,7,8,66
Sonique,It Feels So Good,3:48,Rock,22/01/2000,67,52,30,23,19
"Spears, Britney",Oops!.. I Did It Again,3:30,Rock,22/04/2000,67,38,26,19,15
"Backstreet Boys, The",Shape Of My Heart,3:49,Rock,14/10/2000,39,25,24,15,12
Everclear,Wonderful,4:30,Rock,8/07/2000,77,69,53,37,33
Ja Rule,Between Me And You,4:05,Rap,16/09/2000,85,74,61,37,27
"Rimes, LeAnn",I Need You,3:42,Country,27/05/2000,77,68,67,63,59
Smash Mouth,Then The Morning Comes,3:04,Rock,30/10/1999,83,59,56,46,27
Jay-Z,I Just Wanna Love U (Give It 2 Me),3:50,Rap,28/10/2000,58,45,35,26,23
Jagged Edge,Let's Get Married,4:23,Rock,6/05/2000,77,66,55,45,38
Filter,Take A Picture,4:23,Rock,27/11/1999,91,74,64,52,38
"Martin, Ricky",She Bangs,4:02,Latin,7/10/2000,38,28,21,21,18
Mystikal,Shake Ya Ass,4:46,Rap,12/08/2000,97,90,65,41,34
BBMak,Back Here,3:35,Rock,29/04/2000,99,86,60,52,38
"Spears, Britney",From The Bottom Of My Broken Heart,4:30,Rock,29/01/2000,76,59,52,52,14
Third Eye Blind,Never Let You Go,3:57,Rock,22/01/2000,65,32,25,24,23
Red Hot Chili Peppers,Otherside,4:13,Rock,12/02/2000,80,72,65,52,51
Profyle,Liar,3:57,R&B,16/09/2000,52,32,25,17,16
Barenaked Ladies,Pinch Me,3:46,Rock,9/09/2000,77,76,69,45,51
Jagged Edge,He Can't Love U,3:30,Rock,11/12/1999,54,32,17,17,15
504 Boyz,Wobble Wobble,3:35,Rap,15/04/2000,57,34,25,17,17
Sting,Desert Rose,3:52,Rock,13/05/2000,98,88,72,59,55
Jay-Z,Big Pimpin',3:55,Rap,22/04/2000,69,52,39,33,28
Kid Rock,Only God Knows Why,5:27,Rock,19/02/2000,63,47,46,39,35
Foo Fighters,Learn To Fly,3:55,Rock,16/10/1999,80,69,68,63,60
"Dixie Chicks, The",Goodbye Earl,4:19,Country,18/03/2000,40,29,24,24,20
Guy,Dancin',4:08,R&B,18/12/1999,46,29,19,22,36
Lil Bow Wow,Bounce With Me,3:22,Rap,19/08/2000,48,35,24,24,20
Westlife,Swear It Again,4:07,Rock,1/04/2000,96,82,66,55,55
Train,Meet Virginia,3:55,Rock,9/10/1999,76,67,59,54,48
"Thomas, Carl",I Wish,3:50,Rock,25/03/2000,75,64,48,39,32
Hanson,This Time Around,4:14,Country,22/04/2000,22,22,20,45,87
"Simpson, Jessica",I Think I'm In Love With You,3:32,Pop,1/07/2000,63,52,44,29,25
Ludacris,What's Your Fantasy,4:16,Rap,30/09/2000,89,83,63,55,49
Lil' Zane,Callin' Me,3:43,Rap,29/07/2000,83,89,57,40,34
M2M,Don't Say You Love Me,3:41,Pop,20/11/1999,72,53,62,46,54
SoulDecision,Faded,3:25,Rock,8/07/2000,94,90,81,64,56
"Brock, Chad",Yes!,3:22,Country,8/04/2000,90,77,66,61,59
"Martin, Ricky",Shake Your Bon-Bon,3:08,Latin,20/11/1999,74,66,52,39,39
Vertical Horizon,You're A God,3:45,Rock,26/08/2000,64,55,43,41,37
Avant,Separated,4:13,Rock,29/04/2000,62,32,30,23,26
"Rimes, LeAnn",Big Deal,3:03,Country,16/10/1999,71,52,51,51,51
IMx,Stay The Night,3:37,Rap,9/10/1999,84,61,45,43,40
Dr. Dre,The Next Episode,2:38,Rap,27/05/2000,78,67,58,53,46
"Spears, Britney",Lucky,3:23,Rock,12/08/2000,61,41,28,26,23
Savage Garden,Crash And Burn,4:41,Rock,8/04/2000,75,58,51,36,33
Kandi,Don't Think I'm Not,3:50,Rock,5/08/2000,66,66,66,61,49
Sammie,I Like It,4:09,Rock,29/01/2000,85,68,58,44,40
Goo Goo Dolls,Broadway,3:54,Rock,22/04/2000,74,58,53,42,35
"Moore, Mandy",I Wanna Be With You,4:12,Pop,17/06/2000,69,63,54,50,45
Dr. Dre,Forgot About Dre,3:42,Rap,22/01/2000,75,55,47,36,36
D'Angelo,Untitled (How Does It Feel),7:10,R&B,22/01/2000,77,56,35,26,25
"Messina, Jo Dee",That's The Way,3:17,Country,24/06/2000,78,67,63,54,50
Avant,My First Love,4:28,Rock,4/11/2000,70,62,56,43,39
Son By Four,A Puro Dolor (Purest Of Pain),3:30,Latin,8/04/2000,80,80,80,79,72
Da Brat,What'Chu Like,3:57,Rap,3/06/2000,71,65,54,54,51
DMX,Party Up (Up In Here),3:45,Rap,26/02/2000,88,74,62,56,49
"Dixie Chicks, The",Cowboy Take Me Away,4:51,Country,27/11/1999,79,72,70,61,52
"McGraw, Tim",My Next Thirty Years,3:37,Country,21/10/2000,73,62,56,52,46
"Tritt, Travis",Best Of Intentions,4:15,Country,19/08/2000,97,86,79,70,63
Alice Deejay,Better Off Alone,6:50,Electronica,8/04/2000,79,65,53,48,45
Hoku,Another Dumb Blonde,3:47,Pop,19/02/2000,69,49,49,34,34
"Houston, Whitney",I Learned From The Best,4:18,Rock,19/02/2000,83,83,83,40,28
Counting Crows,Hanginaround,4:07,Rock,6/11/1999,84,70,66,60,46
Mary Mary,Shackles (Praise You),3:12,Rock,25/03/2000,90,76,72,54,43
"Carey, Mariah",Crybaby,5:19,Rock,24/06/2000,28,34,48,62,77
"McGraw, Tim",My Best Friend,4:33,Country,27/11/1999,85,76,71,64,54
Sugar Ray,Falls Apart,4:15,Rock,15/01/2000,70,64,54,40,34
Madonna,American Pie,4:30,Rock,19/02/2000,43,35,29,29,33
"Jones, Donell",Where I Wanna Be,6:22,Rock,22/04/2000,81,71,65,50,41
"Paisley, Brad",We Danced,3:45,Country,14/10/2000,71,68,52,52,45
Lonestar,What About Now,3:30,Country,10/06/2000,78,72,66,64,56
"Backstreet Boys, The",The One,3:46,Rock,27/05/2000,58,50,43,37,31
"Keith, Toby",How Do You Like Me Now?!,3:29,Country,29/01/2000,77,72,59,53,45
"Strait, George",The Best Day,3:24,Country,29/01/2000,73,64,54,45,44
"Dixie Chicks, The",Without You,3:32,Country,7/10/2000,80,70,63,56,50
Musiq,Just Friends (Sunny),4:02,Rap,14/10/2000,89,83,65,55,54
"McEntire, Reba",What Do You Say,3:26,Country,30/10/1999,88,76,71,71,69
"Braxton, Toni",Just Be A Man About It,4:10,Rock,29/07/2000,76,69,51,42,37
"Iglesias, Enrique",Rhythm Divine,7:35,Latin,4/12/1999,90,84,79,67,67
"Fabian, Lara",I Will Love Again,3:43,Pop,10/06/2000,91,80,75,61,60
Bon Jovi,It's My Life,3:44,Rock,12/08/2000,64,58,51,51,48
"Evans, Sara",Born To Fly,5:36,Country,21/10/2000,77,71,64,57,55
"Chesney, Kenny",I Lost It,3:54,Country,21/10/2000,75,67,61,58,58
J-Shin,One Night Stand,4:34,R&B,25/12/1999,96,96,69,74,72
Eve,Love Is Blind,3:51,Rap,8/01/2000,94,91,57,46,46
Aaliyah,I Don't Wanna,4:15,Rock,29/01/2000,84,62,51,41,38
"Montgomery, John Michael",The Little Girl,3:52,Country,9/09/2000,81,67,64,56,45
"Carter, Aaron",Aaron's Party (Come Get It),3:23,R&B,26/08/2000,99,75,57,35,35
"Vassar, Phil",Just Another Day In Paradise,3:54,Country,30/09/2000,81,81,76,67,53
Ice Cube,You Can Do It,4:20,Rap,4/12/1999,86,66,50,42,42
"Wills, Mark",Back At One,4:00,Country,15/01/2000,89,55,51,43,37
Lucy Pearl,Dance Tonight,3:45,R&B,20/05/2000,80,75,63,59,55
"Jackson, Alan",It Must Be Love,2:53,Country,24/06/2000,76,74,68,63,57
"Griggs, Andy",She's More,3:19,Country,11/03/2000,81,76,69,67,62
No Doubt,Simple Kind Of Life,4:11,Rock,1/07/2000,50,40,39,38,38
"Jean, Wyclef",911,4:00,Rap,7/10/2000,77,74,64,61,53
Rascal Flatts,Prayin' For Daylight,3:36,Country,6/05/2000,87,78,72,68,66
Vitamin C,Graduation (Friends Forever),4:23,Rock,15/04/2000,81,64,54,54,46
"Gilman, Billy",One Voice,4:07,Country,17/06/2000,86,86,82,72,65
Lonestar,Smile,3:33,Country,18/12/1999,89,80,80,80,65
"Rogers, Kenny",Buy Me A Rose,3:46,Country,11/03/2000,79,72,65,65,54
"Lawrence, Tracy",Lessons Learned,2:55,Country,29/01/2000,80,73,61,61,48
"Strait, George",Go On,3:48,Country,26/08/2000,71,67,63,56,53
Sisqo,Got To Get It,3:52,Rock,20/11/1999,92,76,73,58,48
Baha Men,Who Let The Dogs Out,3:17,R&B,22/07/2000,99,92,85,76,65
"Walker, Clay",The Chain Of Love,5:03,Country,15/04/2000,73,65,57,57,51
"McBride, Martina",Love's The Only House,5:13,Country,5/02/2000,79,69,65,58,53
Amber,Sexual (Li Da Di),4:38,Rock,17/07/1999,99,99,96,96,100
"Tippin, Aaron",Kiss This,2:53,Country,26/08/2000,74,72,66,53,52
SheDaisy,I Will.. But,3:40,Country,15/07/2000,78,74,70,61,59
"Raye, Collin",Couldn't Last A Moment,3:40,Country,18/03/2000,91,85,75,73,67
Black Rob,Whoa!,4:04,Rap,4/03/2000,78,59,53,52,47
"Jackson, Alan",Pop A Top,3:04,Country,13/11/1999,79,73,70,64,63
"Black, Clint",Been There,5:28,Country,19/02/2000,87,73,62,58,58
Common,The Light,3:55,Rap,5/08/2000,75,55,53,49,46
"Vassar, Phil",Carlene,4:07,Country,4/03/2000,75,67,64,64,57
"Jackson, Alan",www.memory,2:36,Country,4/11/2000,75,59,59,54,50
Vitamin C,The Itch,3:30,Rock,2/12/2000,86,48,45,52,57
"Eastsidaz, The",G'D Up,4:27,Rap,8/01/2000,77,77,89,64,57
Ideal,Whatever,3:48,R&B,10/06/2000,75,75,67,73,64
"Thomas, Carl",Emotional,4:31,Rock,25/11/2000,77,63,61,58,54
Ginuwine,None Of Ur Friends Business,4:12,Rock,11/12/1999,94,84,71,71,60
"Davidson, Clay",Unconditional,3:56,Country,25/03/2000,97,97,97,90,83
DMX,What You Want,4:05,Rap,1/07/2000,98,95,95,87,86
"John, Elton",Someday Out Of The Blue,4:41,Rock,22/04/2000,56,56,49,59,67
Pearl Jam,Nothing As It Seems,5:20,Rock,13/05/2000,49,70,84,89,93
Mya,The Best Of Me,4:12,Rock,15/04/2000,85,70,65,62,55
"Heatherly, Eric",Flowers On The Wall,3:16,Country,29/04/2000,95,88,88,82,82
Eminem,Stan,5:26,Rap,4/11/2000,78,67,57,57,51
"McEntire, Reba",I'll Be,4:23,Country,13/05/2000,89,79,79,72,69
"Lopez, Jennifer",Feelin' Good,4:28,Latin,19/02/2000,79,79,66,54,54
"Urban, Keith",Your Everything,4:10,Country,15/07/2000,81,80,73,73,67
TLC,Dear Lie,4:36,Rock,12/02/2000,63,55,52,51,56
"Gill, Vince",Feels Like Love,4:13,Country,2/09/2000,82,76,74,73,73
"Houston, Whitney",Could I Have This Kiss Forever,3:54,Rock,17/06/2000,74,68,68,67,59
Bloodhound Gang,The Bad Touch,4:20,R&B,18/03/2000,70,62,55,55,52
"Williams, Robbie",Angels,3:56,Rock,20/11/1999,85,77,69,69,62
"Messina, Jo Dee",Because You Love Me,3:50,Country,29/01/2000,83,78,71,71,66
"Keith, Toby",Country Comes To Town,3:39,Country,5/08/2000,82,78,75,69,66
Beenie Man,Girls Dem Sugar,4:17,Reggae,21/10/2000,72,72,63,56,62
"Hill, Faith",Let's Make Love,4:11,Rap,12/08/2000,83,83,73,73,67
Kelis,Caught Out There,4:09,R&B,4/12/1999,84,68,67,63,63
Jay-Z,Anything,3:41,Rap,26/02/2000,72,58,55,55,63
3 Doors Down,Loser,4:24,Rock,21/10/2000,76,76,72,69,67
Brooks & Dunn,You'll Always Be Loved By Me,2:58,Country,10/06/2000,95,85,85,85,83
"Chesney, Kenny",What I Need To Do,4:05,Country,1/04/2000,79,74,68,72,69
"Stone, Angie",No More Rain (In This Cloud),4:42,R&B,25/12/1999,86,86,74,66,56
Da Brat,That's What I'm Looking For,3:44,Rap,26/02/2000,93,73,60,60,60
SheDaisy,This Woman Needs,3:20,Country,5/02/2000,82,70,70,67,57
Papa Roach,Last Resort,3:19,Rock,29/07/2000,75,71,69,69,66
"Adams, Yolanda",Open My Heart,5:30,Gospel,26/08/2000,76,76,74,69,68
Shyne,Bad Boyz,4:22,Rap,9/09/2000,94,87,90,90,82
R.E.M.,The Great Beyond,4:10,Rock,25/12/1999,79,79,70,62,60
"Diffie, Joe",It's Always Somethin',2:55,Country,12/08/2000,81,78,67,63,60
"McGraw, Tim",Some Things Never Change,3:56,Country,13/05/2000,76,66,66,65,63
"Henley, Don",Taking You Home,4:08,Rock,24/06/2000,79,77,74,73,66
Eminem,The Way I Am,4:40,Rap,26/08/2000,87,74,59,65,59
Nas,You Owe Me,3:51,R&B,25/03/2000,74,72,68,59,59
Sister Hazel,Change Your Mind,4:02,Rock,15/07/2000,75,67,66,59,63
Puff Daddy,Best Friend,5:33,Rap,12/02/2000,65,59,62,79,99
"McBride, Martina",There You Are,3:26,Country,9/09/2000,79,75,75,75,73
Usher,Pop Ya Collar,3:36,Rock,4/11/2000,68,64,60,60,62
Lil' Kim,No Matter What They Say,4:12,Rap,15/07/2000,80,72,67,60,65
LFO,I Don't Wanna Kiss You Goodnight,5:00,Rock,15/04/2000,63,61,68,73,91
SheDaisy,Deck The Halls,3:46,Country,25/12/1999,97,61,NA,NA,NA
Splender,I Think God Can Explain,3:55,R&B,10/06/2000,71,66,62,62,62
"Simpson, Jessica",Where You Are,3:51,Rock,1/04/2000,73,66,62,62,76
M2M,Mirror Mirror,3:19,Pop,1/04/2000,87,87,94,91,75
Kumbia Kings,U Don't Love Me,3:50,R&B,4/03/2000,81,64,62,67,70
Joe,Treat Her Like A Lady,4:12,Rock,5/08/2000,77,75,63,63,69
"Blige, Mary J.",Deep Inside,5:26,Rock,13/11/1999,83,80,80,75,75
"Price, Kelly",You Should've Told Me,3:12,Rock,23/09/2000,91,91,91,87,86
Changing Faces,That Other Woman,4:00,Rock,30/09/2000,80,72,66,66,64
"Wright, Chely",It Was,3:51,R&B,4/03/2000,86,78,75,72,71
Limp Bizkit,Rollin',4:04,Rock,11/11/2000,77,73,72,66,65
Hot Boys,I Need A Hot Girl,4:16,Rap,19/02/2000,77,75,71,65,65
Jay-Z,Do It Again (Put Ya Hands Up),3:47,Rap,15/01/2000,95,68,65,65,74
"Adkins, Trace",More,3:05,Country,29/04/2000,84,84,75,73,73
"Dixie Chicks, The",Cold Day In July,5:12,Country,24/06/2000,80,79,76,72,68
"Price, Kelly",As We Lay,6:20,Rock,15/07/2000,82,69,69,64,71
DMX,What's My Name,3:50,Rap,15/01/2000,98,76,69,69,67
"Martin, Ricky",Private Emotion,4:02,Latin,11/03/2000,76,67,71,78,89
Nine Days,If I Am,4:18,Rock,2/12/2000,68,68,81,94,100
"Blige, Mary J.",Give Me You,5:00,Rock,15/04/2000,97,94,77,76,68
Red Hot Chili Peppers,Californication,5:21,Rock,29/07/2000,72,72,72,77,79
Third Eye Blind,Deep Inside Of You,4:10,Rock,2/09/2000,80,73,70,70,70
"Brooks, Garth",Do What You Gotta Do,2:56,Country,19/02/2000,86,81,72,70,69
"Offspring, The",Original Prankster,3:42,Rock,25/11/2000,74,71,70,70,77
"Anthony, Marc",My Baby You,3:59,Latin,16/09/2000,82,76,76,70,82
"Houston, Whitney","Same Script, Different Cast",4:45,Rock,17/06/2000,71,71,71,71,70
D'Angelo,Left & Right,4:35,R&B,11/12/1999,93,77,75,70,91
"Kravitz, Lenny",I Belong To You,4:17,Rock,25/03/2000,78,77,71,71,71
"Loveless, Patty",That's The Kind Of Mood I'm In,3:27,Country,16/09/2000,98,93,93,93,88
Q-Tip,Breathe And Stop,4:06,Rock,22/01/2000,71,71,81,82,96
"Rimes, LeAnn",Can't Fight The Moonlight,3:33,Country,9/09/2000,82,71,79,83,96
Lil Wayne,Tha Block Is Hot,4:13,Rap,4/12/1999,99,89,92,84,84
2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,26/02/2000,87,82,72,77,87
"Wallflowers, The",Sleepwalker,3:29,Rock,28/10/2000,73,73,74,80,90
Drama,"Left, Right, Left",3:37,Rap,12/02/2000,100,98,89,80,75
Limp Bizkit,N 2 Gether Now,3:55,Rock,4/12/1999,94,88,85,78,78
Lox,"Ryde or Die, Chick",3:56,Rap,18/03/2000,86,73,80,84,91
Ying Yang Twins,Whistle While You Twurk,4:19,Rap,18/03/2000,95,94,91,85,84
"Walker, Clay","Live, Laugh, Love",4:06,Country,4/12/1999,95,95,94,94,94
Metallica,No Leaf Clover (Live),5:43,Rock,12/02/2000,86,81,78,76,74
Yankee Grey,Another Nine Minutes,3:10,Country,29/04/2000,86,83,77,74,83
"Bega, Lou",Tricky Tricky ,3:23,Rock,29/01/2000,75,74,87,NA,NA
Big Punisher,It's So Hard,3:25,Rap,22/04/2000,96,87,75,79,81
"Worley, Darryl",When You Need My Love,3:35,Country,17/06/2000,98,88,93,92,85
Lil' Kim,How Many Licks?,3:50,Rap,25/11/2000,79,75,77,86,86
"Clark, Terri",A Little Gasoline,3:07,Country,16/12/2000,75,82,88,96,99
"Brock, Chad",A Country Boy Can Survive,3:54,Country,1/01/2000,93,75,92,NA,NA
"Cagle, Chris",My Love Goes On And On,3:02,Country,21/10/2000,99,94,94,87,84
"Byrd, Tracy",Put Your Hand In Mine,4:30,Country,29/01/2000,81,77,76,76,86
Metallica,I Disappear,4:26,Rock,13/05/2000,86,84,88,81,81
Jay-Z,Hey Papi,3:40,Rap,12/08/2000,98,100,98,94,83
Fatboy Slim,The Rockafeller Skank,4:00,Electronica,13/11/1999,94,94,94,87,77
"Levert, Gerald",Mr. Too Damn Good,4:06,R&B,18/03/2000,84,83,83,76,86
"McKnight, Brian",Stay Or Let It Go,4:32,Rock,26/02/2000,95,92,82,78,76
"Allan, Gary",Smoke Rings In The Dark,4:18,Country,22/01/2000,80,78,76,77,92
Ginuwine,The Best Man I Can Be,4:06,Rock,8/01/2000,97,97,83,94,84
Before Dark,Monica,4:04,Rock,20/05/2000,95,87,80,80,77
"Estefan, Gloria",No Me Dejes De Querer,3:25,Rock,10/06/2000,77,NA,NA,NA,NA
Stone Temple Pilots,Sour Girl,4:16,Rock,8/07/2000,79,79,79,78,78
Montgomery Gentry,Daddy Won't Sell The Farm,4:18,Country,4/03/2000,87,83,81,79,81
"Cyrus, Billy Ray",You Won't Be Lonely Now,3:45,Country,23/09/2000,97,97,97,92,91
Clark Family Experience,Meanwhile Back At The Ranch,2:56,Country,18/11/2000,87,86,81,92,80
"Thomas, Carl",Summer Rain,4:57,Rock,23/09/2000,82,82,86,80,82
"Yearwood, Trisha",Real Live Woman,3:55,Country,1/04/2000,85,83,83,82,81
Trick Daddy,Shut Up,4:17,Rap,20/05/2000,99,95,87,87,83
"Moore, Chante",Straight Up,3:40,Rock,28/10/2000,98,98,97,90,85
Cam'ron,What Means The World To You,4:38,Rap,14/10/2000,94,94,96,91,84
Juvenile,U Understand,3:51,Rap,5/02/2000,85,83,100,98,97
"Hollister, Dave",Can't Stay,6:17,Rock,25/03/2000,84,84,93,98,NA
Tamia,Can't Go For That,3:38,Rock,16/09/2000,90,86,84,88,97
LFO,West Side Story,3:27,Rock,5/08/2000,96,84,88,96,NA
"Paisley, Brad",Me Neither,3:19,Country,13/05/2000,87,85,90,92,NA
"Carter, Torrey",Take That,3:43,Rock,24/06/2000,94,88,86,91,89
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,R&B,2/09/2000,91,87,92,NA,NA
Madison Avenue,Don't Call Me Baby,3:44,Electronica,8/07/2000,98,96,93,93,93
Eve,Got It All,3:48,Rap,15/07/2000,89,88,88,91,95
Limp Bizkit,Re-Arranged,4:08,Rock,4/12/1999,91,91,90,95,95
"Spencer, Tracie",Still In My Heart,4:11,Rock,4/03/2000,95,88,98,NA,NA
Nu Flavor,3 Little Words,3:54,R&B,3/06/2000,97,97,89,89,94
Tamar,If You Don't Wanna Love Me,4:02,Rock,25/03/2000,98,98,92,89,92
"Levert, Gerald",Baby U Are,4:10,R&B,19/08/2000,96,89,92,96,96
"Hart, Beth",L.A. Song,3:47,Country,27/11/1999,99,100,98,99,99
"Diffie, Joe",The Quittin' Kind,3:23,Country,1/01/2000,98,100,100,90,93
Funkmaster Flex,Do You,4:14,Rap,11/11/2000,92,92,95,91,91
"Price, Kelly",Love Sets You Free,3:46,Rock,13/05/2000,92,91,98,100,NA
En Vogue,Riddle,5:10,Rock,17/06/2000,92,92,97,100,NA
"Herndon, Ty",No Mercy,4:43,Country,18/03/2000,100,99,99,NA,NA
Anastacia,I'm Outta Love,4:01,Pop,1/04/2000,92,NA,NA,95,NA
Trina,Pull Over,2:58,Rap,9/09/2000,97,93,96,100,NA
Lil' Mo,Ta Da,4:17,Rap,12/08/2000,100,99,97,97,100
A*Teens,Dancing Queen,3:44,Pop,8/07/2000,97,97,96,95,100
"Sheist, Shade",Where I Wanna Be,4:16,Rap,11/11/2000,96,95,99,99,100
De La Soul,All Good?,5:02,Rap,23/12/2000,96,96,100,NA,NA
"Larrieux, Amel",Get Up,4:02,R&B,4/03/2000,100,97,97,NA,NA
"Braxton, Toni",Spanish Guitar,4:24,Rock,2/12/2000,98,98,98,NA,NA
Tuesday,I Know,4:06,Rock,30/12/2000,98,98,NA,NA,NA
LL Cool J,Imagine That,4:00,Rap,12/08/2000,99,98,NA,NA,NA
Master P,Souljas,3:33,Rap,18/11/2000,98,NA,NA,NA,NA
Ghostface Killah,Cherchez LaGhost,3:04,R&B,5/08/2000,98,NA,NA,NA,NA
"Smith, Will",Freakin' It,3:58,Rap,12/02/2000,99,99,99,99,NA
Zombie Nation,Kernkraft 400,3:30,Rock,2/09/2000,99,99,NA,NA,NA
"Eastsidaz, The",Got Beef,3:58,Rap,1/07/2000,99,99,NA,NA,NA
Fragma,Toca's Miracle,3:22,R&B,28/10/2000,99,NA,NA,NA,NA
